	CL2001032010AA.CEL	CL2001032041AA.CEL
100_g_at	8.18798581421377	8.2785672819338
1000_at	8.23408934145856	8.33639143049433
1001_at	7.07443455574144	6.95735538984793
1002_f_at	4.49630977269705	4.7456141989979
1003_s_at	6.95533569821085	6.94606092564859
1004_at	6.57064404042596	6.4370908896461
1005_at	10.2957574674009	10.5084029503554
1006_at	4.32585361989871	4.26760571483218
1007_s_at	8.2775151046803	8.21229343770895
1008_f_at	9.37444898862442	9.14351386750312
1009_at	8.67829573693918	8.45443079128743
101_at	6.78602220904249	6.51403729256186
1010_at	6.80344595926355	6.35016715465617
1011_s_at	7.25616783894942	6.69753499723337
1012_at	4.20980102775086	4.18121844889107
1013_at	3.22363246303742	3.32150997929856
1014_at	7.10907966307235	7.04551887275018
1015_s_at	5.90815217646874	5.95432142863479
1016_s_at	4.56234815815892	4.51045895920306
1017_at	4.15831680682354	4.22236269985334
1018_at	6.81974269230566	7.19111186703834
1019_g_at	7.31148248440933	7.67746192032255
102_at	3.82371320354377	3.76583191457615
1020_s_at	7.96673729051095	8.00565866795661
1021_at	4.85661499233705	4.67069836450397
1022_f_at	3.73147841152154	4.41970061804085
1023_at	6.93261253604329	6.70236897863397
1024_at	6.84554305219867	6.77172007250488
1025_g_at	5.10016548851815	5.19634939867976
1026_s_at	7.54953864956473	7.43811882593178
1027_at	6.30643234023144	6.30098411777206
1028_at	5.79769048050311	5.68257740282388
1029_s_at	4.65486849178638	4.49004423298415
103_at	6.09163260443089	6.07101593853004
1030_s_at	7.96495505023949	8.09623687872938
1031_at	4.14753234894861	4.12515450661249
1032_at	7.60037449337045	7.82773490652005
1033_g_at	6.3739470524416	6.03996564058497
1034_at	8.87680124257918	8.15014321756097
1035_g_at	9.50982427901264	9.13134707877187
1036_at	3.59574135642129	3.44662887847105
1037_at	4.22547212105337	4.34376148237511
1038_s_at	8.18065931134077	7.44495758384059
1039_s_at	5.89714123555344	6.11581419229187
104_at	5.79343442901661	5.45971550324593
1040_s_at	5.17674890241044	5.0130073648419
1041_at	5.72270560817324	5.80981410124325
1042_at	5.77934354243941	5.31696167366889
1043_s_at	3.92249748772581	3.94859515159251
1044_s_at	4.82785763801346	5.18526810867739
1045_s_at	6.14573512711855	4.75670725231187
1046_at	4.82811420806805	4.64729354285081
1047_s_at	6.97160686153294	6.90499913891725
1048_at	5.03288942684635	5.54242494736697
1049_g_at	7.40447070375096	7.28767414360317
105_at	4.32554048221295	4.39504103484257
1050_at	2.94233292640626	3.4007203314578
1051_g_at	4.79209169431728	5.3221294589146
1052_s_at	9.28775442756224	9.81041538672363
1053_at	4.7488410284767	4.79697895979211
1054_at	3.9240221499228	3.76472066082839
1055_g_at	3.96403588364926	4.04011677128953
1056_s_at	4.91018119569676	4.76072725372488
1057_at	6.23560259876793	5.98733406879862
1058_at	4.71046803630608	4.71369344088546
1059_at	3.86706598580199	4.7278389092059
106_at	6.76136208388323	6.54489502932507
1060_g_at	5.99900867587774	6.68042264078716
1061_at	7.51316211741807	7.17454024559779
1062_g_at	6.39741728191631	6.53328634271989
1063_s_at	7.03892833567961	7.19655462446422
1064_at	4.20551294041619	4.1530461302983
1065_at	5.14280113414739	5.26330360968217
1066_at	5.23025796663543	4.87117688242907
1067_at	4.80342236653888	4.79104026867366
1068_g_at	8.22296684044465	7.72006744341194
1069_at	5.27532461834047	6.7941293193483
107_at	5.85224668056249	5.85302587233974
1070_at	5.07956691087973	5.07839317743237
1071_at	7.38731059794834	7.54422849500751
1072_g_at	7.75594114834661	7.75032366857415
1073_at	7.27128473722989	7.37790578343963
1074_at	6.25265156464162	5.05838423763299
1075_f_at	3.89769226066831	3.89076511023692
1076_at	3.36391807495571	3.44884618683007
1077_at	3.42103441747833	3.33513165421917
1078_at	3.67509106469064	3.71322380581022
1079_g_at	5.41282761854621	5.91247122348198
108_g_at	7.94601260862117	8.11838552137382
1080_s_at	4.65931297033971	4.5826645141767
1081_at	7.37350975430361	7.458597269573
1082_at	5.34420831046756	4.9959465206488
1083_s_at	9.21035731825202	8.73111278854774
1084_at	5.63039210689096	5.45004012955266
1085_s_at	7.03529032624288	7.24397298891023
1086_at	6.06079728819756	5.80978844130003
1087_at	6.44738046868657	6.36812638911775
1088_at	3.37254692495142	3.45072282660025
1089_i_at	6.13590251044232	6.52785076992209
109_at	7.17496940463966	6.91049462905169
1090_f_at	4.01354146739782	4.25376691413127
1091_at	8.55693037769983	8.5426846117139
1092_at	9.01444380144026	8.74368004289462
1093_at	3.42459934265221	3.62376860280828
1094_g_at	5.48918440444671	6.13149246213379
1095_s_at	2.75811072542305	2.94237306906821
1096_g_at	6.88872420626925	6.60939351341343
1097_s_at	6.36664355122175	6.60422063342534
1098_at	3.70907400860287	3.71742209836646
1099_s_at	5.34017253565712	5.28412963805995
110_at	8.12297341091995	8.11136829784723
1100_at	7.49948777317464	7.05413425320083
1101_at	6.42221046745064	6.31776103694634
1102_s_at	5.59911491988039	5.16623141149168
1103_at	6.0879562444338	6.11363019024357
1104_s_at	7.88638531891122	8.07732680204917
1105_s_at	8.48802338738338	9.301474417603
1106_s_at	7.58388561151474	7.76207155048004
1107_s_at	9.59252646413308	8.17330726995482
1108_s_at	6.56709765249949	6.49772435775864
1109_s_at	7.27433082287309	6.92834426188796
111_at	7.217094497417	7.15518855494683
1110_at	6.02839739742363	6.14948503850723
1111_at	5.23282773907845	5.46040931118562
1112_g_at	6.41534319687501	5.9347617789717
1113_at	6.72483033602806	6.55261692639126
1114_at	6.83072968626058	6.6315364627944
1115_at	5.31175556957083	4.6599713008239
1116_at	6.68005239974562	6.71402230137583
1117_at	6.20976988802595	5.815897418668
1118_at	6.13081797173044	5.96554719710597
1119_at	6.26412807739623	6.42706366740217
112_g_at	3.39405330477364	3.60076231722794
1120_at	6.01067553377371	5.7979369504221
1121_g_at	5.60456851083953	5.36728470102754
1122_f_at	8.38071237507178	8.29319418803278
1123_at	6.90521000694849	6.49111438692388
1124_at	6.77803577178082	7.24594191937392
1125_s_at	5.52959517476893	5.41500680804026
1126_s_at	7.10697832262535	6.58911971893505
1127_at	8.37945395886929	8.23648119335875
1128_s_at	6.991585875024	6.46896427913706
1129_at	5.8302058125735	5.58337542494008
113_i_at	5.09481684807511	5.40785248999865
1130_at	7.13201418798357	6.96748879759072
1131_at	8.22200861652593	7.85907062270938
1132_s_at	7.09072861041532	6.84504458789113
1133_at	4.87503158160938	4.52969922477075
1134_at	7.50267741653279	7.67147190136311
1135_at	8.11613889947045	8.11460218308808
1136_at	6.4583589727709	6.42064214617535
1137_at	5.46607895447158	5.16903923500911
1138_at	7.40646111360212	7.31431162366656
1139_at	5.20653228118988	5.03477939563002
114_r_at	6.25401060132352	5.25033374922278
1140_at	4.76977798331499	4.72887393906865
1141_at	6.15719516795622	5.71142118045558
1142_at	6.7215166789971	6.57437346222994
1143_s_at	4.96657640267983	5.15232820767073
1144_at	3.8082725838949	3.94731748531954
1145_g_at	6.04672486960856	6.14808718165796
1146_at	8.01699045624751	7.18883445002167
1147_at	5.41783907922446	5.51007030801593
1148_s_at	4.80287454388615	5.37462992038115
1149_at	5.44876652569269	4.81866174105213
115_at	6.704821742697	7.00869633539076
1150_at	5.82613336365617	5.51866982746694
1151_at	8.58908473806505	9.13814468586876
1152_i_at	4.70170919107418	3.59470885382322
1153_f_at	8.96036931392017	8.66819920145484
1154_at	7.04487817851938	6.52228905259075
1155_at	7.46851497674568	7.92503245102356
1156_at	5.39154590942352	5.53988502865013
1157_s_at	4.43291090281137	4.69896505193159
1158_s_at	8.67121875804819	8.62589251003673
1159_at	3.24597144358988	3.45535798901405
116_at	4.20823707907607	4.3323389189035
1160_at	7.57356985709902	7.03594802056411
1161_at	9.97657613071775	9.49793981334048
1162_g_at	7.10683811900766	6.72082768102742
1163_at	4.22958523935988	4.21985563444229
1164_at	4.50781429140387	4.67013908317436
1165_at	3.84727887789617	4.0110260755098
1166_at	8.80510118274049	8.74847499808898
1167_s_at	8.28607826058601	8.38532155811254
1168_at	4.66718656202215	4.67138233074663
1169_at	6.1533387916334	6.33142430932936
117_at	7.34073254378518	6.93590591004906
1170_at	6.5009279657175	6.78192219101565
1171_s_at	6.62338618929406	6.69720960366147
1172_at	5.7261416426098	5.38461178053347
1173_g_at	11.2606096508969	10.7677156926887
1174_at	5.24727692651529	5.33123006894833
1175_s_at	4.7792811044183	5.06795541010283
1176_at	5.48482366252864	5.69676042270531
1177_at	5.43188422006588	5.62768172463104
1178_at	3.38114280280825	3.41203903851817
1179_at	8.90870033427993	8.27679964509218
118_at	6.00645722871122	5.96833256844496
1180_g_at	10.0277111083224	9.3735724119418
1181_at	6.71130454055067	6.5480991233312
1182_at	3.60087737731537	3.64591796985257
1183_at	4.82820144972322	4.45496543542753
1184_at	8.68363932538358	8.01342576956641
1185_at	7.49261913825998	7.36025480495054
1186_at	4.56492250056587	5.21853939886324
1187_at	6.90803810880859	6.99419879521707
1188_g_at	5.8267059923267	5.71878149462428
1189_at	6.4302645118252	5.94992527170911
1190_at	4.31985468002585	3.81307274282275
1191_s_at	7.55204708432787	7.23848808291301
1192_at	6.3423149157197	6.01467842202117
1193_at	6.41193224865997	6.59120657671721
1194_g_at	5.25372073999089	5.27091568924894
1195_s_at	3.72876631714707	3.83988076437828
1196_at	6.13256302407328	6.26954355550738
1197_at	7.61760062565119	7.45535375171093
1198_at	4.29883704108594	3.78343539145986
1199_at	9.53430338109691	9.32410828485694
120_at	7.02694990473793	6.88441208281508
1200_at	5.87881525343921	5.33419059263718
1201_at	4.54472100940765	4.75596825172708
1202_g_at	6.06149720953324	6.74542847361427
1203_at	4.95843703336915	5.1176866784295
1204_at	4.95810276019112	5.26132237835165
1205_at	4.01141846158783	3.9734230881277
1206_at	6.41293874074055	6.35174099356673
1207_at	5.47553053873337	5.65922297030426
1208_at	6.52548370237779	6.45856372524048
1209_at	5.0235518010268	4.92457782699694
121_at	8.68432038690126	8.77638697695473
1210_s_at	7.17056273499735	6.95248001392023
1211_s_at	5.30626475669725	5.24032431529739
1212_at	6.59606781992847	6.68858136987398
1213_at	4.36952312069656	4.82658028795822
1214_s_at	3.71648677490913	3.7319338306786
1217_g_at	4.77851826885621	4.52539217527862
1218_at	7.14268795134052	6.35073204715595
1219_at	6.49627604256962	6.34033256282118
122_at	4.32068874962224	4.72824242511501
1220_g_at	7.10452940132403	6.52295364466039
1221_at	6.8064834497273	6.19686709906039
1222_at	3.94262635028761	3.85464902992725
1223_at	6.70033567722272	6.47240302762144
1224_at	7.23317618355995	6.9658272684958
1225_g_at	7.53594180080457	7.5930532438755
1226_at	4.07211688254836	4.05761005113926
1227_g_at	4.75778650061814	4.55244964830648
1228_s_at	6.3213612629375	6.51959742657872
1229_at	5.18074270868537	5.40507837181383
123_at	4.0519989370612	4.21869861231297
1230_g_at	6.27649612571201	6.58172607778363
1231_at	4.27272512965338	4.60822251701557
1232_s_at	4.14236483015468	4.30345324538785
1233_s_at	8.34300859518244	8.61060440170509
1234_at	4.61663767423778	4.36212594832267
1235_at	9.6519594131983	9.77878947397769
1236_s_at	5.82465646108528	5.90064500887623
1237_at	7.21798808069751	8.06468288049378
1238_at	6.62871127536015	6.6991648794827
1239_s_at	5.04898128771958	5.11423124855654
1240_at	5.84490855366339	5.70381801689002
1241_at	8.76867232979522	9.15253423681896
1242_at	7.84481243993926	7.79248587133751
1243_at	7.34726197144304	6.71906305600093
1244_at	6.47711521379233	6.41841753290413
1245_i_at	3.48287246725174	3.65904318556003
1246_at	7.8822478007386	8.18014159522307
1247_g_at	5.71915480711642	5.61039498055461
1248_at	6.94601651118372	7.04493235270109
1249_at	3.86018256380006	3.55284125056189
1250_at	4.95584001761455	5.47526104668406
1251_g_at	6.71973803069775	6.55486605414353
1252_at	7.47485989208241	7.89684929414799
1253_at	5.93013244796727	6.11616739892571
1254_at	7.2748404776227	7.7174760246014
1255_g_at	4.82382032272097	4.87467379990649
1256_at	5.04137272731588	5.47507654326963
1257_s_at	7.77997617783358	7.69661505267891
1258_s_at	4.33771111009498	4.82788241972648
1259_at	6.34632802216416	6.37990836145491
126_s_at	3.00618019734625	2.91709848551383
1260_s_at	5.29989592108288	4.53246467661732
1261_i_at	7.55474570997253	7.78502986442185
1262_s_at	4.07052529700367	3.79036612190684
1263_at	6.23217955289021	6.4365291800604
