	CL2001032010AA	Call	p-value	CL2001032041AA	Call	p-value
100_g_at	684.41	A	0.18	993.07	A	0.09
1000_at	1921.49	P	0.01	1520.7	P	0.01
1001_at	793.49	P	0	674.53	P	0
1002_f_at	31.67	A	0.87	21.53	A	0.8
1003_s_at	75.68	A	0.81	99.93	A	0.62
1004_at	342.34	A	0.22	100.54	A	0.42
1005_at	9096.75	P	0	8725.22	P	0
1006_at	64.73	A	0.36	25.18	A	0.52
1007_s_at	1549.05	P	0.01	1656.24	P	0
1008_f_at	3122.66	P	0	3749.53	P	0
1009_at	2003.62	P	0	2281.13	P	0
101_at	313.7	A	0.4	36.49	A	0.7
1010_at	47.5	A	0.56	55.06	A	0.56
1011_s_at	1528.02	P	0	838.19	P	0
1012_at	116.43	A	0.25	102.72	A	0.34
1013_at	9	A	0.86	7.71	A	0.96
1014_at	900.2	A	0.11	1067.11	P	0.03
1015_s_at	42.7	A	0.94	67.74	A	0.78
1016_s_at	107.82	A	0.36	81.14	A	0.52
1017_at	133.11	A	0.3	87.45	A	0.25
1018_at	228.04	A	0.44	343.89	A	0.4
1019_g_at	468.92	A	0.06	372.19	A	0.11
102_at	73.38	A	0.25	25.63	A	0.54
1020_s_at	1762.62	P	0	1728.17	P	0
1021_at	116.85	A	0.27	27.01	A	0.62
1022_f_at	123.19	A	0.4	128.48	A	0.32
1023_at	37.79	A	0.98	28.71	A	0.92
1024_at	246.62	A	0.56	153.85	A	0.54
1025_g_at	148.51	A	0.42	204.76	A	0.19
1026_s_at	101.68	A	0.54	107.39	A	0.58
1027_at	129.75	A	0.48	49.34	A	0.7
1028_at	242.88	A	0.18	292.76	A	0.18
1029_s_at	29.19	A	0.68	33.79	A	0.64
103_at	37.13	A	0.84	58.32	A	0.7
1030_s_at	1354.33	P	0	1780.09	P	0
1031_at	119.8	P	0.02	97.1	A	0.06
1032_at	553.49	A	0.23	729.78	A	0.22
1033_g_at	262.43	A	0.3	179.72	A	0.44
1034_at	3080.33	P	0	1815.89	P	0
1035_g_at	4293.94	P	0	2550.05	P	0
1036_at	105.97	A	0.06	59.44	A	0.32
1037_at	119.99	A	0.64	17.92	A	0.94
1038_s_at	2178.62	P	0	1580.89	P	0
1039_s_at	504.14	P	0	534.59	P	0
